identif,genero,idade,concelho,lat,lon,dieta_saudavel,carne_branca,carne_vermelha,leite,ovos,sobras,cereais,leguminosas,vegetais,frutas,snacks,take_away,jantar_fora,compra_frutas,onde_compra,como_desloca,considera_que_tem_diversidade,perto_longe,alteracoes_climaticas,mudar_habitos,o_que_bloqueia,autosuficiencia,politicas,fao1,fao2,rendimento,instrucao,situacao_prof,saude,score_proteina,score_fruta,score_processados,score_sustentabilidade,dieta_percecionada,score_geral,FID,CreationDate,Creator,EditDate,Editor,GlobalID,x,y
649917,Homem,47,santa maria da feira,40.966960795,-8.510521213,Todos os dias,Algumas vezes por semana,Algumas vezes por semana,Uma vez por dia,Algumas vezes por semana,,Algumas vezes por semana,,Uma vez por dia,Uma vez por dia,Ocasionalmente no mês,Nunca,Ocasionalmente no mês,Algumas vezes por semana,supermercado,carro,Não,,Não,Não mudou,5,Sim,Sim,Não,Não,O rendimento atual permite viver confortavelmente,6º ano (ensino preparatório),Empregado(a),Não,2,4,4,2,5,3,577,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,418e8d71-e23f-4571-8c91-1f47561bb4a8,-8.510521213,40.966960795
649936,Homem,48,lousada,41.285528881,-8.275140765,Todos os dias,Nunca,Nunca,Nunca,Nunca,,Uma vez por dia,,"Todos os dias, várias vezes","Todos os dias, várias vezes",Nunca,Ocasionalmente no mês,Ocasionalmente no mês,Algumas vezes por semana,grandes superficies,carro,Sim,,Não,Não mudou,1,Não,Sim,Não,Não,O rendimento atual dá para viver,Pós Graduação / Mestrado / Doutoramento,Empregado(a),Não,2,5,5,2,5,3.5,578,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,cdc7e662-2ddf-4da0-a914-14ccb9861185,-8.275140765,41.285528881
649945,Homem,48,pombal,39.926596707,-8.677701737,Ocasionalmente no mês,"Todos os dias, várias vezes",Algumas vezes por semana,"Todos os dias, várias vezes","Todos os dias, várias vezes",,Uma vez por semana,,"Todos os dias, várias vezes","Todos os dias, várias vezes","Todos os dias, várias vezes",Nunca,Todos os dias,Algumas vezes por semana,mercado,a pé,Sim,,Ns/Nr,"Não mudou, mas consideraria mudar",1,Sim,Sim,Não,Não,É difícil viver com o rendimento atual,12º ano (ensino secundário),Empregado(a),Não,1,5,1,4,2,2.75,579,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,8d6428a3-1813-4146-9146-6353b3d9a7f9,-8.677701737,39.926596707
649951,Homem,56,vila nova de gaia,41.074443664,-8.58053563,Algumas vezes por semana,Algumas vezes por semana,Ocasionalmente no mês,Uma vez por dia,Algumas vezes por semana,,"Todos os dias, várias vezes",,Uma vez por dia,"Todos os dias, várias vezes",Ocasionalmente no mês,Ocasionalmente no mês,Todos os dias,Todos os dias,grandes superficies,carro,Sim,,Sim,Sim,2,Sim,Sim,Não,Não,O rendimento atual dá para viver,12º ano (ensino secundário),Empregado(a),Não,5,4,4,1,4,3.5,580,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,e71f900c-cf45-496f-bcfc-77f94c7013be,-8.58053563,41.074443664
649953,Homem,73,gondomar,41.109580563,-8.482985214,Algumas vezes por semana,Algumas vezes por semana,Ocasionalmente no mês,"Todos os dias, várias vezes",Algumas vezes por semana,,"Todos os dias, várias vezes",,Algumas vezes por semana,Uma vez por semana,Nunca,Ocasionalmente no mês,Ocasionalmente no mês,Algumas vezes por semana,directamente ao produtor,carro,Sim,,Não,Não mudou,2,Não,Sim,Não,Não,É difícil viver com o rendimento atual,Instrução primária completa,Reformado(a),Sim,5,2,5,5,4,4.25,581,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,e56f180f-aaca-484c-8180-a5dc08d8ed40,-8.482985214,41.109580563
649979,Homem,69,barcelos,41.536703659,-8.623725928,Algumas vezes por semana,Algumas vezes por semana,Algumas vezes por semana,"Todos os dias, várias vezes",Algumas vezes por semana,,Uma vez por semana,,Uma vez por dia,"Todos os dias, várias vezes",Uma vez por semana,Nunca,Uma vez por semana,Ocasionalmente no mês,supermercado,carro,Sim,,Não,Sim,2,Não,Não sei,Não,Não,O rendimento atual dá para viver,12º ano (ensino secundário),Reformado(a),Não,1,4,3,1,4,2.25,582,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,792b092c-bc5a-4529-b3e7-a590756a9933,-8.623725928,41.536703659
649988,Homem,50,caldas da rainha,39.407574438,-9.08819962,Nunca,"Todos os dias, várias vezes",Uma vez por dia,Nunca,"Todos os dias, várias vezes",,"Todos os dias, várias vezes",,Uma vez por dia,Uma vez por dia,Algumas vezes por semana,Algumas vezes por semana,Uma vez por semana,Algumas vezes por semana,mercado,carro,Sim,,Não,Não mudou,4,Não,Sim,Não,Não,O rendimento atual dá para viver,"Curso superior (Licenciatura, Bacharelato)",Empregado(a),Não,1,4,2,2,1,2.25,583,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,53f14daf-e3b9-4998-9747-135137270b08,-9.08819962,39.407574438
649990,Mulher,30,santo tirso,41.32090162,-8.444010835,Algumas vezes por semana,Algumas vezes por semana,Uma vez por semana,Algumas vezes por semana,Algumas vezes por semana,,Algumas vezes por semana,,Uma vez por dia,"Todos os dias, várias vezes",Algumas vezes por semana,Ocasionalmente no mês,Ocasionalmente no mês,Uma vez por semana,mercado,a pé,Não,,Sim,Sim,2,Sim,Sim,Sim,Sim,É difícil viver com o rendimento atual,12º ano (ensino secundário),Empregado(a),Não,5,4,2,5,4,4,584,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,7ebbdd00-f110-4914-8cd6-56e152b58b9b,-8.444010835,41.32090162
649993,Mulher,45,lisboa,38.7376745,-9.15677179,Algumas vezes por semana,Uma vez por dia,Algumas vezes por semana,Uma vez por dia,Algumas vezes por semana,,Ocasionalmente no mês,,Uma vez por dia,Uma vez por dia,Uma vez por semana,Uma vez por semana,Ocasionalmente no mês,Ocasionalmente no mês,grandes superficies,carro,Sim,,Não,Sim,1,Sim,Sim,Não,Não,É muito difícil viver com o rendimento atual,12º ano (ensino secundário),Empregado(a),Sim,1,4,3,1,4,2.25,585,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,7696b4f9-f5aa-44e2-9254-f51cf6a2989a,-9.15677179,38.7376745
649996,Homem,59,amares,41.651682173,-8.34530224,Todos os dias,Algumas vezes por semana,Algumas vezes por semana,Algumas vezes por semana,Algumas vezes por semana,,Uma vez por dia,,"Todos os dias, várias vezes","Todos os dias, várias vezes",Nunca,Nunca,Ocasionalmente no mês,Nunca,outro,outro,Não,,Sim,Não mudou,1,Sim,Sim,Não,Não,O rendimento atual dá para viver,12º ano (ensino secundário),Empregado(a),Não,3,5,5,3,5,4,586,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,f122bdbd-5add-4bf8-8380-744f319e33e2,-8.34530224,41.651682173
649998,Homem,52,maia,41.244909683,-8.601340889,Algumas vezes por semana,Algumas vezes por semana,Algumas vezes por semana,Algumas vezes por semana,Uma vez por dia,,Uma vez por dia,,Algumas vezes por semana,"Todos os dias, várias vezes",Nunca,Algumas vezes por semana,Algumas vezes por semana,Algumas vezes por semana,supermercado,carro,Sim,,Não,Não mudou,1,Não,Sim,Não,Não,O rendimento atual permite viver confortavelmente,12º ano (ensino secundário),Empregado(a),Não,3,1,5,1,4,2.5,587,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,6ad2fcc9-0cd4-4662-8be0-087a0424f4bd,-8.601340889,41.244909683
650000,Homem,73,gondomar,41.109580563,-8.482985214,Todos os dias,Algumas vezes por semana,Algumas vezes por semana,"Todos os dias, várias vezes","Todos os dias, várias vezes",,Algumas vezes por semana,,"Todos os dias, várias vezes","Todos os dias, várias vezes",Ocasionalmente no mês,Nunca,Nunca,Uma vez por semana,directamente ao produtor,a pé,Sim,,Não,Sim,1,Sim,Sim,Sim,Não,É difícil viver com o rendimento atual,12º ano (ensino secundário),Reformado(a),Não,1,5,4,5,5,3.75,588,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,b1187f43-b1e9-4adf-adb4-c228efdb443b,-8.482985214,41.109580563
650003,Homem,51,matosinhos,41.212972558,-8.671430599,Algumas vezes por semana,Algumas vezes por semana,Uma vez por semana,Uma vez por dia,Algumas vezes por semana,,Algumas vezes por semana,,Uma vez por dia,"Todos os dias, várias vezes",Ocasionalmente no mês,Ocasionalmente no mês,Todos os dias,Algumas vezes por semana,grandes superficies,carro,Sim,,Ns/Nr,Sim,1,Sim,Sim,Não,Sim,O rendimento atual dá para viver,"Curso superior (Licenciatura, Bacharelato)",Empregado(a),Não,5,4,4,1,4,3.5,589,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,3a81ba06-1f5f-4f09-92cc-973fa65fd475,-8.671430599,41.212972558
650015,Homem,62,povoa de varzim,41.419083787,-8.717886568,Todos os dias,Uma vez por dia,Algumas vezes por semana,Algumas vezes por semana,Uma vez por dia,,Uma vez por dia,,"Todos os dias, várias vezes","Todos os dias, várias vezes",Ocasionalmente no mês,Ocasionalmente no mês,Ocasionalmente no mês,Uma vez por semana,supermercado,a pé,Sim,,Não,Não mudou,4,Sim,Sim,Não,Não,O rendimento atual dá para viver,12º ano (ensino secundário),Desempregado(a),Sim,1,5,4,2,5,3,590,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,2cf09968-a947-4681-b6df-f24d6c5c9446,-8.717886568,41.419083787
650016,Homem,37,vagos,40.515462394,-8.689552597,Nunca,"Todos os dias, várias vezes",Uma vez por dia,"Todos os dias, várias vezes",Algumas vezes por semana,,Uma vez por dia,,"Todos os dias, várias vezes",Algumas vezes por semana,Algumas vezes por semana,Algumas vezes por semana,Algumas vezes por semana,Algumas vezes por semana,mercearia,a pé,Sim,,Sim,"Não mudou, mas consideraria mudar",3,Sim,Não sei,Não,Não,O rendimento atual dá para viver,12º ano (ensino secundário),Empregado(a),Não,1,1,2,2,1,1.5,591,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,244d1114-2a72-4e85-aaa3-588730099e88,-8.689552597,40.515462394
650021,Homem,53,vila verde,41.680759283,-8.443475317,Algumas vezes por semana,Algumas vezes por semana,Algumas vezes por semana,Nunca,"Todos os dias, várias vezes",,Algumas vezes por semana,,"Todos os dias, várias vezes","Todos os dias, várias vezes",Uma vez por semana,Ocasionalmente no mês,Ocasionalmente no mês,Algumas vezes por semana,mercearia,carro,Sim,,Não,Não mudou,3,Não,Sim,Não,Não,O rendimento atual dá para viver,9º ano (antigo 5º ano),Empregado(a),Não,1,5,3,5,4,3.5,592,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,e4943747-ce9b-4339-8693-a0cfd7c2cc9c,-8.443475317,41.680759283
650025,Mulher,49,freixo de espada a cinta,41.113514699,-6.832722212,Algumas vezes por semana,"Todos os dias, várias vezes",Algumas vezes por semana,"Todos os dias, várias vezes",Algumas vezes por semana,,Algumas vezes por semana,,"Todos os dias, várias vezes","Todos os dias, várias vezes",Algumas vezes por semana,Ocasionalmente no mês,Ocasionalmente no mês,Uma vez por semana,supermercado,carro,Sim,,Sim,Sim,2,Sim,Sim,Não,Não,O rendimento atual dá para viver,"Curso superior (Licenciatura, Bacharelato)",Empregado(a),Não,1,5,2,1,4,2.25,593,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,28260450-e71d-48f5-bf0a-e8c61b09abc3,-6.832722212,41.113514699
650033,Mulher,65,braga,41.544478205,-8.420923539,Algumas vezes por semana,Uma vez por dia,Ocasionalmente no mês,Uma vez por dia,Uma vez por dia,,Uma vez por dia,,"Todos os dias, várias vezes","Todos os dias, várias vezes",Ocasionalmente no mês,Nunca,Ocasionalmente no mês,Algumas vezes por semana,supermercado,a pé,Sim,,Não,"Não mudou, mas consideraria mudar",2,Não,Sim,Não,Não,O rendimento atual dá para viver,"Curso superior (Licenciatura, Bacharelato)",Reformado(a),Não,3,5,4,3,4,3.75,594,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,a2914345-c4d6-4d14-84c0-4d3f6619fdfa,-8.420923539,41.544478205
650034,Homem,64,braga,41.544478205,-8.420923539,Algumas vezes por semana,Algumas vezes por semana,Nunca,Uma vez por dia,Algumas vezes por semana,,"Todos os dias, várias vezes",,Algumas vezes por semana,"Todos os dias, várias vezes",Algumas vezes por semana,Uma vez por semana,Ocasionalmente no mês,Uma vez por semana,supermercado,carro,Não,,Não,"Não mudou, mas consideraria mudar",2,Sim,Sim,Sim,Sim,O rendimento atual permite viver confortavelmente,Pós Graduação / Mestrado / Doutoramento,Empregado(a),Sim,5,1,2,1,4,2.25,595,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,c0a669fb-b207-414f-9b3d-df50618c84ac,-8.420923539,41.544478205
650036,Mulher,51,braga,41.544478205,-8.420923539,Algumas vezes por semana,Uma vez por semana,Nunca,Ocasionalmente no mês,Ocasionalmente no mês,,Uma vez por dia,,Uma vez por dia,Uma vez por dia,Ocasionalmente no mês,Nunca,Nunca,Uma vez por semana,grandes superficies,carro,Sim,,Não,Sim,5,Não,Sim,Não,Não,O rendimento atual permite viver confortavelmente,12º ano (ensino secundário),Empregado(a),Não,5,4,4,1,4,3.5,596,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,425e8d39-9f7a-416d-96eb-9a02c56a8491,-8.420923539,41.544478205
650038,Homem,33,guimaraes,41.460845976,-8.315562167,Todos os dias,"Todos os dias, várias vezes",Algumas vezes por semana,Nunca,Uma vez por dia,,Algumas vezes por semana,,"Todos os dias, várias vezes","Todos os dias, várias vezes",Ocasionalmente no mês,Nunca,Uma vez por semana,Algumas vezes por semana,mercado,carro,Não,,Não,Sim,1,Sim,Sim,Não,Não,O rendimento atual permite viver confortavelmente,"Curso superior (Licenciatura, Bacharelato)",Empregado(a),Não,1,5,4,4,5,3.5,597,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,8b4969d1-644b-4e0c-a361-b1923451ca0a,-8.315562167,41.460845976
650043,Mulher,57,maia,41.244909683,-8.601340889,Todos os dias,Algumas vezes por semana,Ocasionalmente no mês,Algumas vezes por semana,Uma vez por dia,,"Todos os dias, várias vezes",,"Todos os dias, várias vezes","Todos os dias, várias vezes",Ocasionalmente no mês,Ocasionalmente no mês,Ocasionalmente no mês,Algumas vezes por semana,mercearia,carro,Sim,,Sim,Sim,1,Não,Sim,Não,Não,O rendimento atual dá para viver,12º ano (ensino secundário),Desempregado(a),Sim,5,5,4,5,5,4.75,598,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,8a20edb1-0493-4b65-a767-885c1126911d,-8.601340889,41.244909683
650047,Mulher,50,paredes,41.181517339,-8.396130551,Todos os dias,Nunca,Nunca,Uma vez por dia,Nunca,,Uma vez por dia,,Uma vez por dia,Uma vez por dia,Nunca,Nunca,Nunca,Algumas vezes por semana,mercearia,a pé,Sim,,Não,Sim,2,Sim,Sim,Sim,Sim,É difícil viver com o rendimento atual,12º ano (ensino secundário),Desempregado(a),Sim,5,4,5,5,5,4.75,599,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,646520c9-dc43-484b-9ed0-ebd33f11836a,-8.396130551,41.181517339
650159,Mulher,33,lisboa,38.7376745,-9.15677179,Algumas vezes por semana,Uma vez por dia,Algumas vezes por semana,Uma vez por dia,Uma vez por dia,,Ocasionalmente no mês,,Uma vez por dia,"Todos os dias, várias vezes",Ocasionalmente no mês,Ocasionalmente no mês,Ocasionalmente no mês,Todos os dias,mercearia,a pé,Sim,,Não,"Não mudou, mas consideraria mudar",1,Não,Sim,Não,Não,É difícil viver com o rendimento atual,Pós Graduação / Mestrado / Doutoramento,Empregado(a),Não,1,4,4,5,4,3.5,600,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,f0f1f8d5-76cc-4053-b58a-0daf9462de91,-9.15677179,38.7376745
650161,Homem,51,lisboa,38.7376745,-9.15677179,Nunca,Algumas vezes por semana,Uma vez por semana,Uma vez por dia,Uma vez por semana,,"Todos os dias, várias vezes",,"Todos os dias, várias vezes","Todos os dias, várias vezes",Nunca,Nunca,Nunca,Algumas vezes por semana,supermercado,a pé,Sim,,Sim,Não mudou,1,Não,Sim,Não,Sim,É muito difícil viver com o rendimento atual,9º ano (antigo 5º ano),Desempregado(a),Sim,5,5,5,3,1,4.5,601,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,4fd43bb8-7ecc-4693-aa31-21bf5912e606,-9.15677179,38.7376745
651760,Homem,53,braga,41.544478205,-8.420923539,Todos os dias,Algumas vezes por semana,Algumas vezes por semana,Algumas vezes por semana,Algumas vezes por semana,,Algumas vezes por semana,,Algumas vezes por semana,Algumas vezes por semana,Ocasionalmente no mês,Ocasionalmente no mês,Ocasionalmente no mês,Algumas vezes por semana,mercado,a pé,Sim,,Não,Não mudou,2,Não sei,Sim,Ns/Nr,Não,É difícil viver com o rendimento atual,"Curso superior (Licenciatura, Bacharelato)",Desempregado(a),Não,2,3,4,5,5,3.5,602,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,c23a160a-f47e-405f-b2d5-95ed536d1aba,-8.420923539,41.544478205
651764,Mulher,44,loures,38.861301926,-9.151676932,Uma vez por semana,Algumas vezes por semana,Algumas vezes por semana,Algumas vezes por semana,Algumas vezes por semana,,Algumas vezes por semana,,Algumas vezes por semana,"Todos os dias, várias vezes",Uma vez por semana,Uma vez por semana,Ocasionalmente no mês,Uma vez por semana,supermercado,carro,Não,,Ns/Nr,"Não mudou, mas consideraria mudar",2,Não sei,Não sei,Não,Não,O rendimento atual permite viver confortavelmente,12º ano (ensino secundário),Empregado(a),Não,2,1,3,1,3,1.75,603,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,a0525e9c-4d24-48fe-b35b-6a3220b6be4e,-9.151676932,38.861301926
639402,Homem,76,vila nova de paiva,40.872326473,-7.763368,Todos os dias,Algumas vezes por semana,Algumas vezes por semana,Uma vez por dia,Algumas vezes por semana,,Uma vez por dia,,Algumas vezes por semana,Uma vez por dia,Uma vez por semana,Nunca,Algumas vezes por semana,Algumas vezes por semana,mercearia,carro,Não,,Ns/Nr,"Não mudou, mas consideraria mudar",3,Sim,Sim,Não,Não,O rendimento atual dá para viver,6º ano (ensino preparatório),Reformado(a),Sim,3,3,3,3,5,3,604,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,17c2faae-b69f-4fbc-bcd6-25f079d40e39,-7.763368,40.872326473
651768,Mulher,20,alenquer,39.098161279,-9.039059682,Algumas vezes por semana,Algumas vezes por semana,Algumas vezes por semana,"Todos os dias, várias vezes",Algumas vezes por semana,,"Todos os dias, várias vezes",,"Todos os dias, várias vezes","Todos os dias, várias vezes","Todos os dias, várias vezes",Ocasionalmente no mês,Todos os dias,Algumas vezes por semana,supermercado,a pé,Não,,Sim,Sim,1,Não,Sim,Não,Não,O rendimento atual dá para viver,12º ano (ensino secundário),Estudante,Sim,2,5,1,1,4,2.25,605,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,ccccd38a-38b5-4c26-b45d-7471bb8c5552,-9.039059682,39.098161279
651774,Homem,39,setubal,38.516130148,-8.887486786,Algumas vezes por semana,Ocasionalmente no mês,Ocasionalmente no mês,Algumas vezes por semana,Algumas vezes por semana,,Algumas vezes por semana,,"Todos os dias, várias vezes","Todos os dias, várias vezes",Ocasionalmente no mês,Uma vez por semana,Uma vez por semana,Uma vez por semana,mercearia,a pé,Sim,,Não,Sim,2,Não,Sim,Não,Não,O rendimento atual dá para viver,12º ano (ensino secundário),Empregado(a),Não,5,5,4,3,4,4.25,606,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,a4234903-95b8-4b5c-9eac-3b85465fa593,-8.887486786,38.516130148
639403,Homem,34,moita,38.653526523,-9.0014041,Algumas vezes por semana,"Todos os dias, várias vezes",Uma vez por semana,Nunca,Uma vez por dia,,"Todos os dias, várias vezes",,"Todos os dias, várias vezes",Uma vez por dia,Uma vez por semana,Ocasionalmente no mês,Ocasionalmente no mês,Uma vez por semana,supermercado,a pé,Sim,,Sim,"Não mudou, mas consideraria mudar",1,Não,Sim,Não,Não,O rendimento atual dá para viver,12º ano (ensino secundário),Empregado(a),Não,1,4,3,2,4,2.5,607,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,de1253d0-fcc8-49fd-96e8-05bdaf1868da,-9.0014041,38.653526523
651778,Mulher,29,viseu,40.68803513,-7.905588342,Todos os dias,Algumas vezes por semana,Uma vez por semana,"Todos os dias, várias vezes",Algumas vezes por semana,,Algumas vezes por semana,,"Todos os dias, várias vezes","Todos os dias, várias vezes",Algumas vezes por semana,Ocasionalmente no mês,Uma vez por semana,Uma vez por semana,mercado,carro,Sim,,Não,Não mudou,4,Sim,Sim,Não,Não,O rendimento atual permite viver confortavelmente,12º ano (ensino secundário),Empregado(a),Não,5,5,2,3,5,3.75,608,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,e8fc5259-05d6-473e-bc8f-cfe3cbe2f378,-7.905588342,40.68803513
639404,Mulher,40,viseu,40.68803513,-7.905588342,Ocasionalmente no mês,Algumas vezes por semana,Algumas vezes por semana,Uma vez por dia,Nunca,,Algumas vezes por semana,,Nunca,Uma vez por semana,Uma vez por semana,Nunca,Ocasionalmente no mês,Uma vez por semana,mercado,a pé,Sim,,Não,Não mudou,1,Não,Sim,Sim,Não,Não sabe,Pós Graduação / Mestrado / Doutoramento,Empregado(a),Não,2,1,3,5,2,2.75,609,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,e6e8cef8-aa32-44b7-ad8c-3ee475b9aaff,-7.905588342,40.68803513
651779,Homem,38,sever do vouga,40.724097253,-8.352013927,Algumas vezes por semana,Uma vez por dia,Uma vez por semana,Uma vez por dia,Algumas vezes por semana,,Uma vez por dia,,Uma vez por dia,"Todos os dias, várias vezes",Uma vez por semana,Ocasionalmente no mês,Nunca,Algumas vezes por semana,supermercado,carro,Não,,Sim,Não mudou,4,Sim,Sim,Não,Não,O rendimento atual dá para viver,12º ano (ensino secundário),Empregado(a),Não,3,4,3,2,4,3,610,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,d3c94968-038b-4d3b-81c7-3c3fd12450cb,-8.352013927,40.724097253
651780,Homem,29,almada,38.635628858,-9.193063099,Ocasionalmente no mês,Algumas vezes por semana,Algumas vezes por semana,Uma vez por dia,Ocasionalmente no mês,,Algumas vezes por semana,,Algumas vezes por semana,Algumas vezes por semana,Ocasionalmente no mês,Ocasionalmente no mês,Algumas vezes por semana,Algumas vezes por semana,mercearia,carro,Sim,,Ns/Nr,Não mudou,2,Não sei,Sim,Não,Não,O rendimento atual permite viver confortavelmente,12º ano (ensino secundário),Empregado(a),Não,2,3,4,3,2,3,611,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,22e285c9-3c9d-4be8-8f78-e881a61b48ce,-9.193063099,38.635628858
651781,Mulher,36,cartaxo,39.145795646,-8.789617011,Algumas vezes por semana,Uma vez por dia,Algumas vezes por semana,Uma vez por dia,Algumas vezes por semana,,Uma vez por dia,,Uma vez por dia,Uma vez por dia,Algumas vezes por semana,Ocasionalmente no mês,Uma vez por semana,Uma vez por semana,grandes superficies,a pé,Sim,,Não,Sim,4,Não sei,Não,Ns/Nr,Não,O rendimento atual dá para viver,"Curso superior (Licenciatura, Bacharelato)",Empregado(a),Sim,1,4,2,1,4,2,612,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,10/15/2025 2:30:52 PM,patricia.abrantes@edu.ulisboa.pt_ulisboa,90f36dae-a1e0-40e2-9f68-6f93c2ed7ddd,-8.789617011,39.145795646
